Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
535,Chris Wood,nz NZL,FW,Newcastle Utd,29,1991,14.7,4,3,1,3,0,1,2,50,1,248,67,27,15,116,117,8,3,0,5,2,6,8,0,Matches
536,Freddie Woodman,eng ENG,GK,Newcastle Utd,24,1997,4,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
537,Granit Xhaka,ch SUI,MFDF,Arsenal,28,1992,25.9,39,24,19,14,6,13,36,36.1,23,300,84,28,101,121,78,36,8,0,28,31,70,28,0,Matches
538,Andriy Yarmolenko,ua UKR,FW,West Ham,31,1989,3.5,3,0,1,2,0,3,7,42.9,4,60,12,20,19,19,22,5,2,0,3,1,4,1,0,Matches
539,Ashley Young,eng ENG,DFFW,Aston Villa,36,1985,13.9,28,15,15,9,4,11,14,78.6,3,145,35,24.1,59,56,30,12,4,0,8,22,50,24,0,Matches
540,Nathan Young-Coombes,eng ENG,FW,Brentford,18,2003,0,0,0,0,0,0,0,0,,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,Matches
541,Wilfried Zaha,ci CIV,FW,Crystal Palace,28,1992,30.7,48,35,15,22,11,9,28,32.1,19,617,172,27.9,137,304,176,27,0,0,27,24,72,4,0,Matches
542,Christoph Zimmermann,de GER,DF,Norwich City,28,1993,1.7,5,3,3,2,0,2,4,50,2,24,9,37.5,13,8,3,0,0,0,0,3,8,3,0,Matches
543,Oleksandr Zinchenko,ua UKR,DF,Manchester City,24,1996,11.6,20,11,7,10,3,4,13,30.8,9,94,31,33,25,47,22,18,3,0,15,18,38,13,1,Matches
544,Hakim Ziyech,ma MAR,FWMF,Chelsea,28,1993,14.7,20,11,5,11,4,4,25,16,21,266,78,29.3,53,118,95,18,1,0,17,20,40,9,0,Matches
545,Kurt Zouma,fr FRA,DF,West Ham,26,1994,23.1,11,5,9,2,0,4,8,50,4,107,35,32.7,58,36,13,38,27,0,11,47,58,140,0,Matches
546,Martin Ødegaard,no NOR,MF,Arsenal,22,1998,30.9,43,25,5,19,19,12,39,30.8,27,574,154,26.8,107,262,205,18,1,0,17,22,65,12,1,Matches
